	F1norm_rprr	alpha	datasetname	delta	knownmodules	method	precision	recall	recovery	relevance	runningtime
152	1.1675959960688214	1.01	ecoli_dream5	0.5	minimal	chengchurch	0.019802545441771444	0.010806622954344435	0.11148764862184879	0.04446403629289278	6.132063150405884
153	0.2787737847214952	1.01	ecoli_dream5	1.0	strict	chengchurch	0.026610871216092985	0.001470475949552375	0.05525846702317291	0.018518518518518517	5.266222953796387
154	0.5292781101457176	1.01	ecoli_dream5	1.0	interconnected	chengchurch	0.033709262169097254	0.0025664445575300987	0.07613469985358712	0.022222222222222216	5.266222953796387
155	0.9931924134239276	1.01	ecoli_dream5	1.0	minimal	chengchurch	0.06150075495066952	0.01317492585663678	0.14773980154355015	0.024531422271223815	5.266222953796387
156	0.0	1.1	ecoli_dream5	0.0001	strict	chengchurch	0.0	0.0	0.0	0.0	156.19130182266235
157	0.0	1.1	ecoli_dream5	0.0001	interconnected	chengchurch	0.0	0.0	0.0	0.0	156.19130182266235
158	0.0	1.1	ecoli_dream5	0.0001	minimal	chengchurch	0.0	0.0	0.0	0.0	156.19130182266235
159	0.0	1.1	ecoli_dream5	0.0002	strict	chengchurch	0.0	0.0	0.0	0.0	143.8496959209442
160	0.0	1.1	ecoli_dream5	0.0002	interconnected	chengchurch	0.0	0.0	0.0	0.0	143.8496959209442
161	0.0	1.1	ecoli_dream5	0.0002	minimal	chengchurch	0.0	0.0	0.0	0.0	143.8496959209442
162	0.0	1.1	ecoli_dream5	0.0005	strict	chengchurch	0.0	0.0	0.0	0.0	130.05084896087646
163	0.0	1.1	ecoli_dream5	0.0005	interconnected	chengchurch	0.0	0.0	0.0	0.0	130.05084896087646
164	0.0	1.1	ecoli_dream5	0.0005	minimal	chengchurch	0.0	0.0	0.0	0.0	130.05084896087646
165	0.0	1.1	ecoli_dream5	0.001	strict	chengchurch	0.0	0.0	0.0	0.0	135.35123801231384
166	0.0	1.1	ecoli_dream5	0.001	interconnected	chengchurch	0.0	0.0	0.0	0.0	135.35123801231384
167	0.0	1.1	ecoli_dream5	0.001	minimal	chengchurch	0.0	0.0	0.0	0.0	135.35123801231384
168	0.0	1.1	ecoli_dream5	0.002	strict	chengchurch	0.0	0.0	0.0	0.0	142.31107592582703
169	0.0	1.1	ecoli_dream5	0.002	interconnected	chengchurch	0.0	0.0	0.0	0.0	142.31107592582703
170	0.0	1.1	ecoli_dream5	0.002	minimal	chengchurch	0.0	0.0	0.0	0.0	142.31107592582703
171	0.0	1.1	ecoli_dream5	0.005	strict	chengchurch	0.0	0.0	0.0	0.0	124.73809790611267
172	0.0	1.1	ecoli_dream5	0.005	interconnected	chengchurch	0.0	0.0	0.0	0.0	124.73809790611267
173	0.0	1.1	ecoli_dream5	0.005	minimal	chengchurch	0.0	0.0	0.0	0.0	124.73809790611267
174	0.0	1.1	ecoli_dream5	0.01	strict	chengchurch	0.0	0.0	0.0	0.0	130.0522141456604
175	0.0	1.1	ecoli_dream5	0.01	interconnected	chengchurch	0.0	0.0	0.0	0.0	130.0522141456604
176	0.0	1.1	ecoli_dream5	0.01	minimal	chengchurch	0.0	0.0	0.0	0.0	130.0522141456604
177	0.07691207614930974	1.1	ecoli_dream5	0.02	strict	chengchurch	0.000319050523860358	0.0009427486409583596	0.11231884057971014	0.014315985509170279	109.64141416549683
178	0.09251225688514306	1.1	ecoli_dream5	0.02	interconnected	chengchurch	0.0002754987988118934	0.0006531820221424906	0.10073260073260075	0.019218434013177504	109.64141416549683
179	0.034534709374344726	1.1	ecoli_dream5	0.02	minimal	chengchurch	0.00010129613503334526	0.0004941820528195506	0.0762242143821091	0.014572222552150996	109.64141416549683
180	0.5058039826775499	1.1	ecoli_dream5	0.05	strict	chengchurch	0.0033872567172174672	0.004453172100230923	0.17602476888191174	0.0504721903035602	34.38521385192871
181	0.3256118930980892	1.1	ecoli_dream5	0.05	interconnected	chengchurch	0.001145342854903699	0.002166066165721665	0.09769465757317419	0.04937199077634084	34.38521385192871
182	0.1476395400602781	1.1	ecoli_dream5	0.05	minimal	chengchurch	0.0004125486895934668	0.003348495228413869	0.11925168614040085	0.052517745776180576	34.38521385192871
183	0.8161165051218261	1.1	ecoli_dream5	0.1	strict	chengchurch	0.008603447383184828	0.007056508319525488	0.21880440987583843	0.05385221832387218	18.13646912574768
184	0.6030360164155772	1.1	ecoli_dream5	0.1	interconnected	chengchurch	0.002941127013294076	0.0035094073586432782	0.125019266240108	0.05602824746257943	18.13646912574768
185	0.5549881169819001	1.1	ecoli_dream5	0.1	minimal	chengchurch	0.0023516894257980523	0.0062808020025827875	0.11889575722909057	0.054510369260122954	18.13646912574768
186	0.5905028973241842	1.1	ecoli_dream5	0.2	strict	chengchurch	0.009634986530340041	0.003866641926841044	0.15496124031007752	0.040214409345285654	9.403039932250977
187	0.7079617270630159	1.1	ecoli_dream5	0.2	interconnected	chengchurch	0.00850340945265973	0.003208547418819891	0.1237260903560463	0.04161085616987387	9.403039932250977
188	0.8672705018472099	1.1	ecoli_dream5	0.2	minimal	chengchurch	0.009309155632480566	0.0071018275326200616	0.11172042243470814	0.038965097091390045	9.403039932250977
189	0.45543262709990195	1.1	ecoli_dream5	0.5	strict	chengchurch	0.01914253241484105	0.002550239999134451	0.08242368050074277	0.0318350748230917	5.769903898239136
190	0.647892668244961	1.1	ecoli_dream5	0.5	interconnected	chengchurch	0.017798429615625996	0.0030321996978209644	0.08515389328808447	0.03175460611514098	5.769903898239136
